Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Prolíngua,N/A,1983-9979,Portuguese,Universidade Federal da Paraíba,False,CC BY-NC-SA,False
Проблеми Законності,2224-9281,2414-990X,"Ukrainian, Russian, English",Yaroslav Mudryi National Law University,False,CC BY,True
Enlightening Tourism: A Pathmaking Journal,N/A,2174-548X,English,University of Huelva,False,CC BY-NC,False
Scientific Journals of the Maritime University of Szczecin,1733-8670,2392-0378,English,MUS,False,CC BY,True
"Fronteiras: Journal of Social, Technological and Environmental Science",N/A,2238-8869,Portuguese,Centro Universitário de Anápolis,False,CC BY-NC,False
Semina: Ciências Agrárias,1676-546X,1679-0359,"Portuguese, English",Universidade Estadual de Londrina,False,Publisher's own license,True
Raízes Jurídicas,N/A,1981-3872,Portuguese,Universidade Positivo,False,CC BY,False
International Journal of Critical Pedagogy,N/A,2157-1074,English,University of North Carolina at Greensboro,False,Publisher's own license,False
Iheringia: Série Zoologia,0073-4721,1678-4766,"English, Portuguese, Spanish",Fundação Zoobotânica do Rio Grande do Sul,False,CC BY,False
INDEX Revista de Arte Contemporáneo,1390-4825,2477-9199,Spanish,Pontificia Universidad Católica del Ecuador,False,CC BY-NC,False
Jurnal Ilmiah Ilmu-Ilmu Peternakan,1410-7791,2528-0805,Indonesian,Universitas Jambi,False,CC BY,True
Research in Corpus Linguistics,N/A,2243-4712,English,Asociación Española de Lingüística de Corpus,False,CC BY,False
Survey Methods - Insights from the Field,N/A,2296-4754,English,FORS,False,CC BY,False
Concrete Operators,N/A,2299-3282,English,De Gruyter,False,CC BY,True
Cuadernos de Lingüística de El Colegio de México,N/A,2007-736X,"English, Spanish","El Colegio de México, A.C.",False,CC BY,False
"Revista de Sociologia, Antropologia e Cultura Jurídica",N/A,2526-0251,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),False,CC BY-NC,False
Argumentos,N/A,2525-0469,Spanish,"Centro de Perfeccionamiento ""Ricardo C. Nuñez"" del Poder Judicial de la Provincia de Córdoba",False,CC BY-NC,False
Revista Colombiana de Biotecnología,0123-3475,1909-8758,Spanish,Universidad Nacional de Colombia,False,CC BY,False
Kandai,1907-204X,2527-5968,"English, Indonesian",Kantor Bahasa Provinsi Sulawesi Tenggara,False,CC BY-NC-SA,False
Jurnal Psikologi Teori dan Terapan,2087-1708,2597-9035,"English, Indonesian",Universitas Negeri Surabaya,False,CC BY-NC,False
Journal of Applied Research on Children,N/A,2155-5834,English,Children at Risk,False,CC BY-NC-ND,False
Clinical and Experimental Otorhinolaryngology,1976-8710,2005-0720,English,Korean Society of Otorhinolaryngology-Head and Neck Surgery,False,CC BY-NC,True
Jurnal Iqra': Kajian Ilmu Pendidikan,2527-4449,2548-7892,"English, Indonesian",IAI Ma'arif NUMetro Lampung,False,CC BY-SA,False
Cadernos de História,2237-8871,1679-5636,"Portuguese, Spanish",Pontifícia Universidade Católica de Minas Gerais,False,CC BY,False
Tecnura,0123-921X,2248-7638,Spanish,Universidad Distrital Francisco Jose de Caldas,False,CC BY-SA,False
Tate Papers,N/A,1753-9854,English,Tate,False,CC BY-NC-ND,False
Revista Ciencias Veterinarias,N/A,2215-4507,"English, Spanish","Universidad Nacional, Costa Rica",False,CC BY-NC-ND,False
Indonesian Journal of History Education,2252-6641,2549-0354,Indonesian,Universitas Negeri Semarang,False,CC BY,False
Revista da SBEnBIO,1982-1867,2763-8898,Portuguese,Marco Antonio Leandro Barzano,False,CC BY,False
Téssera,N/A,2595-8925,Portuguese,Enivalda Nunes Freitas e Souza,False,CC BY-NC-ND,False
Półrocznik Językoznawczy Tertium,N/A,2543-7844,"English, Polish",Cracow Tertium Society for the Promotion of Language Studies,False,CC BY-NC-ND,False
Colloquium Agrariae,N/A,1809-8215,Portuguese,"University of Western Sao Paulo, UNOESTE",False,CC BY-NC-ND,False
Phytopathologia Mediterranea,0031-9465,1593-2095,English,Firenze University Press,True,CC BY,True
ORiON,0259-191X,2224-0004,English,Operations Research Society of South Africa (ORSSA),False,CC BY,False
Journal of Human Security,N/A,1835-3800,English,Librelloph,True,CC BY,False
Ciceroniana On Line,N/A,2532-5353,"English, French, German, Italian, Spanish",Università degli Studi di Torino,False,CC BY-SA,False
EQA,2039-9898,2281-4485,English,University of Bologna,True,CC BY-NC,False
Iluminuras,N/A,1984-1191,Portuguese,Universidade Federal do Rio Grande do Sul,False,CC BY-NC,False
Learning and Teaching,1755-2273,1755-2281,English,Berghahn Books,False,"CC BY, CC BY-ND, CC BY-NC-ND",False
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 2. Âzykoznanie,1998-9911,2409-1979,"English, Russian",Volgograd State University,False,CC BY,False
Telfor Journal,1821-3251,2334-9905,English,"Telecommunications Society, Academic Mind",False,Publisher's own license,False
ITB Journal of Information and Communication Technology,1978-3086,N/A,English,ITB Journal Publisher,False,CC BY-ND,True
Zephyrus,0514-7336,2386-3943,"English, Spanish",Ediciones Universidad de Salamanca,False,CC BY-NC-ND,False
Phonica,N/A,1699-8774,"Catalan, English, French, Galician, Italian, Portuguese, Spanish",Universitat de Barcelona,False,CC BY,False
Revista Pegada Eletrônica,1676-1871,1676-3025,"Portuguese, Spanish",Universidade Estadual Paulista Júlio de Mesquita Filho,False,CC BY,False
Rivista Italiana di Acustica,N/A,2385-2615,"Italian, English",Associazione Italiana di Acustica,False,CC BY,False
Austrian Law Journal,N/A,2409-6911,"English, German","Brigitte Lurger, Elisabeth Staudegger, Stefan Storr",False,CC BY,False
Open Biology,N/A,2046-2441,English,The Royal Society,True,CC BY,True
Cadernos de Letras da UFF,1413-053X,2447-4207,Portuguese,Universidade Federal Fluminense,False,CC BY-NC,False
Revista Baiana de Educação Matemática,N/A,2675-5246,Portuguese,Universidade do Estado da Bahia,False,CC BY-NC-SA,False
Aspekti Publìčnogo Upravlìnnâ,2311-6420,2413-8231,"Ukrainian, Russian",Grani,False,CC BY,False
Jurnal Smart,2356-2048,2356-203X,English,Universitas Muhammadiyah Pringsewu,False,CC BY-SA,True
