id,quartile,identifiers,areas
Hematology,Q1,"['1542-4863', '0007-9235']",['Medicine']
Oncology,Q1,"['1542-4863', '0007-9235']",['Medicine']
Artificial Intelligence,Q1,"['1935-8245', '1935-8237']",['Computer Science']
Human-Computer Interaction,Q1,"['1935-8245', '1935-8237']",['Computer Science']
Software,Q1,"['1935-8245', '1935-8237']",['Computer Science']
Cell Biology,Q1,"['1471-0072', '1471-0080']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q1,"['1471-0072', '1471-0080']","['Biochemistry, Genetics and Molecular Biology']"
Economics and Econometrics,Q1,"['0033-5533', '1531-4650']","['Economics, Econometrics and Finance']"
Cancer Research,Q1,"['1474-175X', '1474-1768']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,"['1474-175X', '1474-1768']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q1,"['0092-8674', '1097-4172']","['Biochemistry, Genetics and Molecular Biology']"
Drug Discovery,Q1,"['1474-1784', '1474-1776']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Medicine (miscellaneous),Q1,"['1474-1784', '1474-1776']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Pharmacology,Q1,"['1474-1784', '1474-1776']","['Medicine', 'Pharmacology, Toxicology and Pharmaceutics']"
Economics and Econometrics,Q1,"['1944-7981', '0002-8282']","['Economics, Econometrics and Finance']"
Biomaterials,Q1,['2058-8437'],"['Energy', 'Materials Science']"
"Electronic, Optical and Magnetic Materials",Q1,['2058-8437'],"['Energy', 'Materials Science']"
Energy (miscellaneous),Q1,['2058-8437'],"['Energy', 'Materials Science']"
Materials Chemistry,Q1,['2058-8437'],"['Energy', 'Materials Science']"
"Surfaces, Coatings and Films",Q1,['2058-8437'],"['Energy', 'Materials Science']"
Oncology,Q1,"['1759-4782', '1759-4774']",['Medicine']
Medicine (miscellaneous),Q1,"['0028-4793', '1533-4406']",['Medicine']
Accounting,Q1,"['0022-1082', '1540-6261']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,"['0022-1082', '1540-6261']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Finance,Q1,"['0022-1082', '1540-6261']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q1,"['1546-170X', '1078-8956']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,"['1546-170X', '1078-8956']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Biochemistry,Q1,"['1934-3396', '1934-340X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,"['1934-3396', '1934-340X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Structural Biology,Q1,"['1934-3396', '1934-340X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,"['2380-8942', '2380-8950']",['Medicine']
Economics and Econometrics,Q1,"['0022-3808', '1537-534X']","['Economics, Econometrics and Finance']"
Multidisciplinary,Q1,"['1476-4687', '0028-0836']",['Multidisciplinary']
Applied Microbiology and Biotechnology,Q1,"['1546-1696', '1087-0156']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Immunology and Microbiology']"
Bioengineering,Q1,"['1546-1696', '1087-0156']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Immunology and Microbiology']"
Biomedical Engineering,Q1,"['1546-1696', '1087-0156']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Immunology and Microbiology']"
Biotechnology,Q1,"['1546-1696', '1087-0156']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Immunology and Microbiology']"
Molecular Medicine,Q1,"['1546-1696', '1087-0156']","['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Immunology and Microbiology']"
Chemistry (miscellaneous),Q1,"['1520-6890', '0009-2665']",['Chemistry']
Economics and Econometrics,Q1,"['0012-9682', '1468-0262']","['Economics, Econometrics and Finance']"
Accounting,Q1,"['1465-7368', '0893-9454']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,"['1465-7368', '0893-9454']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Finance,Q1,"['1465-7368', '0893-9454']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Cancer Research,Q1,"['1535-6108', '1878-3686']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Cell Biology,Q1,"['1535-6108', '1878-3686']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,"['1535-6108', '1878-3686']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Electronic, Optical and Magnetic Materials",Q1,['2058-7546'],"['Energy', 'Materials Science']"
Energy Engineering and Power Technology,Q1,['2058-7546'],"['Energy', 'Materials Science']"
Fuel Technology,Q1,['2058-7546'],"['Energy', 'Materials Science']"
"Renewable Energy, Sustainability and the Environment",Q1,['2058-7546'],"['Energy', 'Materials Science']"
Genetics,Q1,"['1061-4036', '1546-1718']","['Biochemistry, Genetics and Molecular Biology']"
Physics and Astronomy (miscellaneous),Q1,"['0034-6861', '1539-0756']",['Physics and Astronomy']
Immunology,Q1,"['1474-1741', '1474-1733']","['Immunology and Microbiology', 'Medicine']"
Immunology and Allergy,Q1,"['1474-1741', '1474-1733']","['Immunology and Microbiology', 'Medicine']"
Medicine (miscellaneous),Q1,"['1474-1741', '1474-1733']","['Immunology and Microbiology', 'Medicine']"
Electrical and Electronic Engineering,Q1,['1553-877X'],['Engineering']
Psychiatry and Mental Health,Q1,['1723-8617'],['Medicine']
Immunology,Q1,"['1545-3278', '0732-0582']","['Immunology and Microbiology', 'Medicine']"
Immunology and Allergy,Q1,"['1545-3278', '0732-0582']","['Immunology and Microbiology', 'Medicine']"
Life-span and Life-course Studies,Q1,"['1551-8922', '1551-8930']",['Social Sciences']
Biochemistry,Q1,"['1548-7091', '1548-7105']","['Biochemistry, Genetics and Molecular Biology']"
Biotechnology,Q1,"['1548-7091', '1548-7105']","['Biochemistry, Genetics and Molecular Biology']"
Cell Biology,Q1,"['1548-7091', '1548-7105']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q1,"['1548-7091', '1548-7105']","['Biochemistry, Genetics and Molecular Biology']"
Condensed Matter Physics,Q1,"['1460-6976', '0001-8732']",['Physics and Astronomy']
Chemistry (miscellaneous),Q1,"['2791-0091', '2790-8119']","['Chemistry', 'Energy', 'Materials Science']"
Energy (miscellaneous),Q1,"['2791-0091', '2790-8119']","['Chemistry', 'Energy', 'Materials Science']"
Materials Science (miscellaneous),Q1,"['2791-0091', '2790-8119']","['Chemistry', 'Energy', 'Materials Science']"
Epidemiology,Q1,"['1057-5987', '1545-8601']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health Information Management,Q1,"['1057-5987', '1545-8601']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health (social science),Q1,"['1057-5987', '1545-8601']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
"Health, Toxicology and Mutagenesis",Q1,"['1057-5987', '1545-8601']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Medicine (miscellaneous),Q1,"['1057-5987', '1545-8601']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Business and International Management,Q1,"['1941-6520', '1941-6067']","['Business, Management and Accounting']"
Organizational Behavior and Human Resource Management,Q1,"['1941-6520', '1941-6067']","['Business, Management and Accounting']"
"Atomic and Molecular Physics, and Optics",Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Bioengineering,Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Biomedical Engineering,Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Electrical and Electronic Engineering,Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Nanoscience and Nanotechnology,Q1,"['1748-3387', '1748-3395']","['Chemical Engineering', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Genetics,Q1,"['1471-0056', '1471-0064']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Genetics (clinical),Q1,"['1471-0056', '1471-0064']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Molecular Biology,Q1,"['1471-0056', '1471-0064']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Chemistry (miscellaneous),Q1,"['1476-4660', '1476-1122']","['Chemistry', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Condensed Matter Physics,Q1,"['1476-4660', '1476-1122']","['Chemistry', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q1,"['1476-4660', '1476-1122']","['Chemistry', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanical Engineering,Q1,"['1476-4660', '1476-1122']","['Chemistry', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Mechanics of Materials,Q1,"['1476-4660', '1476-1122']","['Chemistry', 'Engineering', 'Materials Science', 'Physics and Astronomy']"
Arts and Humanities (miscellaneous),Q1,"['0001-8392', '1930-3815']","['Arts and Humanities', 'Social Sciences']"
Public Administration,Q1,"['0001-8392', '1930-3815']","['Arts and Humanities', 'Social Sciences']"
Sociology and Political Science,Q1,"['0001-8392', '1930-3815']","['Arts and Humanities', 'Social Sciences']"
Hematology,Q1,"['1569-8041', '0923-7534']",['Medicine']
Medicine (miscellaneous),Q1,"['1569-8041', '0923-7534']",['Medicine']
Oncology,Q1,"['1569-8041', '0923-7534']",['Medicine']
Accounting,Q1,['0304-405X'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,['0304-405X'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
